
n_households:  100
Initial exploration has been finished!
[2023-05-16 22:16:13.441073] Epoch: 50 / 5000, Frames: 51000, gov_Rewards: 1.090, house_Rewards: -106.250, years:1.000, gov_actor_loss: -23733.789, gov_critic_loss: 1108511488.000, house_actor_loss: 227502.812, house_critic_loss: 6095943168.000
[2023-05-16 22:16:27.590910] Epoch: 51 / 5000, Frames: 52000, gov_Rewards: 1.090, house_Rewards: -107.575, years:1.000, gov_actor_loss: -109932.398, gov_critic_loss: 2097491328.000, house_actor_loss: 18011.012, house_critic_loss: 6198901760.000
[2023-05-16 22:16:41.569118] Epoch: 52 / 5000, Frames: 53000, gov_Rewards: 1.094, house_Rewards: -107.463, years:1.000, gov_actor_loss: 37570.898, gov_critic_loss: 1598551808.000, house_actor_loss: -57608.266, house_critic_loss: 5076171264.000
[2023-05-16 22:16:55.872929] Epoch: 53 / 5000, Frames: 54000, gov_Rewards: 1.093, house_Rewards: -108.531, years:1.000, gov_actor_loss: -100921.656, gov_critic_loss: 1453038592.000, house_actor_loss: 34546.086, house_critic_loss: 3739907328.000
[2023-05-16 22:17:09.952374] Epoch: 54 / 5000, Frames: 55000, gov_Rewards: 1.105, house_Rewards: -108.571, years:1.000, gov_actor_loss: -4217.224, gov_critic_loss: 1698519040.000, house_actor_loss: -85598.117, house_critic_loss: 6383708160.000
[2023-05-16 22:17:24.194058] Epoch: 55 / 5000, Frames: 56000, gov_Rewards: 1.098, house_Rewards: -109.052, years:1.000, gov_actor_loss: -30793.965, gov_critic_loss: 1653181824.000, house_actor_loss: 274284.312, house_critic_loss: 6961854976.000
[2023-05-16 22:17:38.338580] Epoch: 56 / 5000, Frames: 57000, gov_Rewards: 1.085, house_Rewards: -109.189, years:1.000, gov_actor_loss: -39705.641, gov_critic_loss: 1040657344.000, house_actor_loss: 15808.738, house_critic_loss: 4347692544.000
[2023-05-16 22:17:52.512285] Epoch: 57 / 5000, Frames: 58000, gov_Rewards: 1.104, house_Rewards: -109.453, years:1.000, gov_actor_loss: 35850.758, gov_critic_loss: 1430782208.000, house_actor_loss: 245322.609, house_critic_loss: 5917769728.000
[2023-05-16 22:18:06.538562] Epoch: 58 / 5000, Frames: 59000, gov_Rewards: 1.109, house_Rewards: -109.394, years:1.000, gov_actor_loss: 18461.568, gov_critic_loss: 1486219008.000, house_actor_loss: 166417.109, house_critic_loss: 5652051968.000
[2023-05-16 22:18:20.663285] Epoch: 59 / 5000, Frames: 60000, gov_Rewards: 1.120, house_Rewards: -109.646, years:1.000, gov_actor_loss: 52287.062, gov_critic_loss: 1178633216.000, house_actor_loss: 200265.734, house_critic_loss: 4234914560.000
[2023-05-16 22:18:34.759431] Epoch: 60 / 5000, Frames: 61000, gov_Rewards: 1.107, house_Rewards: -109.704, years:1.000, gov_actor_loss: 51810.047, gov_critic_loss: 905085824.000, house_actor_loss: 276265.500, house_critic_loss: 4395079168.000
[2023-05-16 22:18:48.884670] Epoch: 61 / 5000, Frames: 62000, gov_Rewards: 1.106, house_Rewards: -109.857, years:1.000, gov_actor_loss: -52869.727, gov_critic_loss: 1230423168.000, house_actor_loss: 270957.594, house_critic_loss: 4395515392.000
[2023-05-16 22:19:02.939019] Epoch: 62 / 5000, Frames: 63000, gov_Rewards: 1.095, house_Rewards: -109.896, years:1.000, gov_actor_loss: 14340.416, gov_critic_loss: 883585152.000, house_actor_loss: 869535.125, house_critic_loss: 14754051072.000
[2023-05-16 22:19:17.188992] Epoch: 63 / 5000, Frames: 64000, gov_Rewards: 1.099, house_Rewards: -109.759, years:1.000, gov_actor_loss: -2079.581, gov_critic_loss: 1153979392.000, house_actor_loss: -41114.176, house_critic_loss: 4242726400.000
[2023-05-16 22:19:31.328274] Epoch: 64 / 5000, Frames: 65000, gov_Rewards: 1.094, house_Rewards: -109.743, years:1.000, gov_actor_loss: -57870.016, gov_critic_loss: 1831823104.000, house_actor_loss: 356240.438, house_critic_loss: 10689206272.000
[2023-05-16 22:19:45.587131] Epoch: 65 / 5000, Frames: 66000, gov_Rewards: 1.093, house_Rewards: -109.942, years:1.000, gov_actor_loss: 46518.590, gov_critic_loss: 467195456.000, house_actor_loss: -243611.141, house_critic_loss: 2264683264.000
[2023-05-16 22:19:59.569460] Epoch: 66 / 5000, Frames: 67000, gov_Rewards: 1.109, house_Rewards: -109.893, years:1.000, gov_actor_loss: -676.831, gov_critic_loss: 1077700352.000, house_actor_loss: 314274.312, house_critic_loss: 4951832064.000
[2023-05-16 22:20:13.782968] Epoch: 67 / 5000, Frames: 68000, gov_Rewards: 1.105, house_Rewards: -109.996, years:1.000, gov_actor_loss: 45277.781, gov_critic_loss: 806988160.000, house_actor_loss: -210118.250, house_critic_loss: 2852605952.000
[2023-05-16 22:20:27.747897] Epoch: 68 / 5000, Frames: 69000, gov_Rewards: 1.101, house_Rewards: -110.006, years:1.000, gov_actor_loss: 68743.969, gov_critic_loss: 995092352.000, house_actor_loss: -226458.938, house_critic_loss: 4152172032.000
[2023-05-16 22:20:41.918194] Epoch: 69 / 5000, Frames: 70000, gov_Rewards: 1.110, house_Rewards: -110.019, years:1.000, gov_actor_loss: 53765.141, gov_critic_loss: 978828032.000, house_actor_loss: 49014.512, house_critic_loss: 2894321920.000
[2023-05-16 22:20:56.075554] Epoch: 70 / 5000, Frames: 71000, gov_Rewards: 1.111, house_Rewards: -110.123, years:1.000, gov_actor_loss: -7668.627, gov_critic_loss: 1068023936.000, house_actor_loss: -72851.227, house_critic_loss: 2752936704.000
[2023-05-16 22:21:10.107941] Epoch: 71 / 5000, Frames: 72000, gov_Rewards: 1.092, house_Rewards: -110.283, years:1.000, gov_actor_loss: -120178.875, gov_critic_loss: 1823934976.000, house_actor_loss: -23920.551, house_critic_loss: 2692796672.000
[2023-05-16 22:21:24.129377] Epoch: 72 / 5000, Frames: 73000, gov_Rewards: 1.120, house_Rewards: -110.343, years:1.000, gov_actor_loss: -119264.062, gov_critic_loss: 1117154944.000, house_actor_loss: 86353.609, house_critic_loss: 2187241984.000
[2023-05-16 22:21:38.304873] Epoch: 73 / 5000, Frames: 74000, gov_Rewards: 1.107, house_Rewards: -110.306, years:1.000, gov_actor_loss: 57770.688, gov_critic_loss: 1309521920.000, house_actor_loss: 103391.859, house_critic_loss: 3042308864.000
[2023-05-16 22:21:52.167575] Epoch: 74 / 5000, Frames: 75000, gov_Rewards: 1.117, house_Rewards: -110.298, years:1.000, gov_actor_loss: 28112.008, gov_critic_loss: 565190912.000, house_actor_loss: 8262.148, house_critic_loss: 1772145536.000
[2023-05-16 22:22:06.212993] Epoch: 75 / 5000, Frames: 76000, gov_Rewards: 1.104, house_Rewards: -110.321, years:1.000, gov_actor_loss: -1248.895, gov_critic_loss: 281545120.000, house_actor_loss: 231693.484, house_critic_loss: 2026625920.000
[2023-05-16 22:22:20.279619] Epoch: 76 / 5000, Frames: 77000, gov_Rewards: 1.110, house_Rewards: -110.305, years:1.000, gov_actor_loss: 32498.143, gov_critic_loss: 520436480.000, house_actor_loss: 138625.938, house_critic_loss: 2111714688.000
