
n_households:  100
[2023-06-04 12:46:13.112837] Update: 82 / 2000, Frames: 41500, Gov_Rewards: -51.216, House_Rewards: 1141.735, years: 180.400, PL: -0.002,VL: 7028.834, Ent: 1.352
[2023-06-04 12:46:21.185509] Update: 83 / 2000, Frames: 42000, Gov_Rewards: -60.075, House_Rewards: 1330.464, years: 210.300, PL: -0.001,VL: 7436.413, Ent: 1.352
[2023-06-04 12:46:27.000905] Update: 84 / 2000, Frames: 42500, Gov_Rewards: -34.035, House_Rewards: 772.421, years: 120.600, PL: -0.002,VL: 7047.764, Ent: 1.351
[2023-06-04 12:46:33.112943] Update: 85 / 2000, Frames: 43000, Gov_Rewards: -28.275, House_Rewards: 625.781, years: 100.300, PL: -0.002,VL: 6287.938, Ent: 1.350
[2023-06-04 12:46:39.774733] Update: 86 / 2000, Frames: 43500, Gov_Rewards: -32.687, House_Rewards: 769.780, years: 120.600, PL: -0.002,VL: 6919.458, Ent: 1.349
[2023-06-04 12:46:48.512317] Update: 87 / 2000, Frames: 44000, Gov_Rewards: -66.180, House_Rewards: 1537.016, years: 240.200, PL: -0.002,VL: 6777.505, Ent: 1.348
[2023-06-04 12:46:57.649967] Update: 88 / 2000, Frames: 44500, Gov_Rewards: -67.350, House_Rewards: 1528.027, years: 240.200, PL: -0.003,VL: 6634.781, Ent: 1.346
[2023-06-04 12:47:06.989275] Update: 89 / 2000, Frames: 45000, Gov_Rewards: -75.410, House_Rewards: 1730.542, years: 270.100, PL: -0.002,VL: 6350.512, Ent: 1.345
[2023-06-04 12:47:14.620871] Update: 90 / 2000, Frames: 45500, Gov_Rewards: -42.270, House_Rewards: 939.586, years: 148.600, PL: -0.002,VL: 7105.205, Ent: 1.344
[2023-06-04 12:47:20.296030] Update: 91 / 2000, Frames: 46000, Gov_Rewards: -32.787, House_Rewards: 753.482, years: 120.600, PL: -0.002,VL: 6295.814, Ent: 1.343
[2023-06-04 12:47:26.699150] Update: 92 / 2000, Frames: 46500, Gov_Rewards: -41.593, House_Rewards: 949.348, years: 150.500, PL: -0.002,VL: 7343.011, Ent: 1.343
[2023-06-04 12:47:30.332598] Update: 93 / 2000, Frames: 47000, Gov_Rewards: -9.512, House_Rewards: 212.569, years: 34.500, PL: -0.003,VL: 7114.085, Ent: 1.341
[2023-06-04 12:47:36.795571] Update: 94 / 2000, Frames: 47500, Gov_Rewards: -43.204, House_Rewards: 970.606, years: 154.400, PL: -0.002,VL: 5824.506, Ent: 1.339
[2023-06-04 12:47:45.990126] Update: 95 / 2000, Frames: 48000, Gov_Rewards: -77.543, House_Rewards: 1723.663, years: 270.200, PL: -0.001,VL: 6242.105, Ent: 1.338
[2023-06-04 12:47:50.141209] Update: 96 / 2000, Frames: 48500, Gov_Rewards: -17.363, House_Rewards: 389.946, years: 60.900, PL: -0.003,VL: 6400.763, Ent: 1.336
[2023-06-04 12:47:56.455130] Update: 97 / 2000, Frames: 49000, Gov_Rewards: -42.007, House_Rewards: 955.717, years: 150.500, PL: -0.002,VL: 5912.672, Ent: 1.335
[2023-06-04 12:48:01.447623] Update: 98 / 2000, Frames: 49500, Gov_Rewards: -24.896, House_Rewards: 565.466, years: 90.700, PL: -0.002,VL: 6525.212, Ent: 1.334
[2023-06-04 12:48:06.891693] Update: 99 / 2000, Frames: 50000, Gov_Rewards: -21.663, House_Rewards: 472.877, years: 74.800, PL: -0.001,VL: 6289.809, Ent: 1.333
[2023-06-04 12:48:14.760851] Update: 100 / 2000, Frames: 50500, Gov_Rewards: -49.981, House_Rewards: 1142.593, years: 180.400, PL: -0.002,VL: 6295.312, Ent: 1.332
[2023-06-04 12:48:22.966013] Update: 101 / 2000, Frames: 51000, Gov_Rewards: -57.812, House_Rewards: 1324.261, years: 210.300, PL: -0.002,VL: 6011.280, Ent: 1.331
[2023-06-04 12:48:31.055390] Update: 102 / 2000, Frames: 51500, Gov_Rewards: -56.969, House_Rewards: 1335.641, years: 210.300, PL: -0.001,VL: 5979.175, Ent: 1.330
[2023-06-04 12:48:40.990533] Update: 103 / 2000, Frames: 52000, Gov_Rewards: -65.355, House_Rewards: 1517.859, years: 240.200, PL: -0.001,VL: 5800.835, Ent: 1.329
[2023-06-04 12:48:47.132105] Update: 104 / 2000, Frames: 52500, Gov_Rewards: -36.047, House_Rewards: 765.501, years: 120.600, PL: -0.002,VL: 6060.446, Ent: 1.328
[2023-06-04 12:48:53.194184] Update: 105 / 2000, Frames: 53000, Gov_Rewards: -26.119, House_Rewards: 576.886, years: 90.800, PL: -0.002,VL: 5977.019, Ent: 1.327
[2023-06-04 12:48:58.651177] Update: 106 / 2000, Frames: 53500, Gov_Rewards: -26.201, House_Rewards: 570.877, years: 90.700, PL: -0.003,VL: 5727.642, Ent: 1.326
[2023-06-04 12:49:06.323484] Update: 107 / 2000, Frames: 54000, Gov_Rewards: -51.800, House_Rewards: 1147.310, years: 180.500, PL: -0.001,VL: 5751.967, Ent: 1.325
[2023-06-04 12:49:14.472056] Update: 108 / 2000, Frames: 54500, Gov_Rewards: -53.763, House_Rewards: 1212.009, years: 191.200, PL: -0.002,VL: 6165.048, Ent: 1.324
[2023-06-04 12:49:20.849215] Update: 109 / 2000, Frames: 55000, Gov_Rewards: -43.151, House_Rewards: 960.459, years: 150.600, PL: -0.001,VL: 5976.908, Ent: 1.322
[2023-06-04 12:49:26.768478] Update: 110 / 2000, Frames: 55500, Gov_Rewards: -26.174, House_Rewards: 577.869, years: 90.700, PL: -0.001,VL: 5312.962, Ent: 1.322
[2023-06-04 12:49:35.799168] Update: 111 / 2000, Frames: 56000, Gov_Rewards: -60.255, House_Rewards: 1336.151, years: 210.300, PL: -0.001,VL: 6225.723, Ent: 1.321
[2023-06-04 12:49:43.218756] Update: 112 / 2000, Frames: 56500, Gov_Rewards: -49.371, House_Rewards: 1146.650, years: 180.500, PL: -0.000,VL: 6327.645, Ent: 1.320
[2023-06-04 12:49:48.293106] Update: 113 / 2000, Frames: 57000, Gov_Rewards: -25.907, House_Rewards: 574.095, years: 90.800, PL: -0.003,VL: 5586.629, Ent: 1.319
[2023-06-04 12:49:54.961705] Update: 114 / 2000, Frames: 57500, Gov_Rewards: -40.565, House_Rewards: 857.046, years: 135.300, PL: -0.001,VL: 5256.913, Ent: 1.318
[2023-06-04 12:50:00.801726] Update: 115 / 2000, Frames: 58000, Gov_Rewards: -35.403, House_Rewards: 759.148, years: 120.600, PL: -0.002,VL: 5931.025, Ent: 1.316
[2023-06-04 12:50:08.619955] Update: 116 / 2000, Frames: 58500, Gov_Rewards: -61.423, House_Rewards: 1340.667, years: 210.300, PL: 0.002,VL: 6165.967, Ent: 1.316
[2023-06-04 12:50:15.143611] Update: 117 / 2000, Frames: 59000, Gov_Rewards: -42.017, House_Rewards: 966.166, years: 150.500, PL: -0.003,VL: 5166.907, Ent: 1.315
[2023-06-04 12:50:22.145494] Update: 118 / 2000, Frames: 59500, Gov_Rewards: -50.462, House_Rewards: 1112.507, years: 176.400, PL: -0.001,VL: 6069.377, Ent: 1.315
[2023-06-04 12:50:27.975046] Update: 119 / 2000, Frames: 60000, Gov_Rewards: -34.287, House_Rewards: 773.473, years: 120.600, PL: -0.003,VL: 6180.232, Ent: 1.314
[2023-06-04 12:50:32.994890] Update: 120 / 2000, Frames: 60500, Gov_Rewards: -17.648, House_Rewards: 388.055, years: 60.900, PL: -0.001,VL: 6167.767, Ent: 1.314
[2023-06-04 12:50:38.801812] Update: 121 / 2000, Frames: 61000, Gov_Rewards: -33.536, House_Rewards: 768.222, years: 120.600, PL: -0.001,VL: 6260.457, Ent: 1.313
[2023-06-04 12:50:45.192558] Update: 122 / 2000, Frames: 61500, Gov_Rewards: -40.952, House_Rewards: 951.590, years: 150.500, PL: -0.002,VL: 6364.322, Ent: 1.312
[2023-06-04 12:50:51.169618] Update: 123 / 2000, Frames: 62000, Gov_Rewards: -25.918, House_Rewards: 575.626, years: 90.800, PL: -0.001,VL: 6202.654, Ent: 1.312
[2023-06-04 12:50:57.153529] Update: 124 / 2000, Frames: 62500, Gov_Rewards: -35.566, House_Rewards: 763.705, years: 120.600, PL: -0.001,VL: 5037.871, Ent: 1.312
[2023-06-04 12:51:04.497216] Update: 125 / 2000, Frames: 63000, Gov_Rewards: -51.410, House_Rewards: 1145.220, years: 180.400, PL: -0.002,VL: 6038.002, Ent: 1.311
[2023-06-04 12:51:14.121267] Update: 126 / 2000, Frames: 63500, Gov_Rewards: -67.093, House_Rewards: 1536.218, years: 240.200, PL: -0.001,VL: 5452.412, Ent: 1.309
[2023-06-04 12:51:20.937817] Update: 127 / 2000, Frames: 64000, Gov_Rewards: -31.739, House_Rewards: 733.611, years: 115.500, PL: -0.003,VL: 5492.473, Ent: 1.308
[2023-06-04 12:51:27.670230] Update: 128 / 2000, Frames: 64500, Gov_Rewards: -40.829, House_Rewards: 937.771, years: 150.500, PL: -0.001,VL: 5561.931, Ent: 1.308
[2023-06-04 12:51:34.287172] Update: 129 / 2000, Frames: 65000, Gov_Rewards: -43.341, House_Rewards: 968.252, years: 152.000, PL: -0.001,VL: 5214.719, Ent: 1.306
[2023-06-04 12:51:42.834354] Update: 130 / 2000, Frames: 65500, Gov_Rewards: -69.604, House_Rewards: 1538.506, years: 240.200, PL: -0.002,VL: 5456.149, Ent: 1.305
[2023-06-04 12:51:51.248899] Update: 131 / 2000, Frames: 66000, Gov_Rewards: -59.218, House_Rewards: 1346.286, years: 212.700, PL: -0.001,VL: 5844.610, Ent: 1.304
[2023-06-04 12:51:59.213673] Update: 132 / 2000, Frames: 66500, Gov_Rewards: -50.805, House_Rewards: 1143.221, years: 180.400, PL: 0.002,VL: 6113.814, Ent: 1.303
[2023-06-04 12:52:04.330484] Update: 133 / 2000, Frames: 67000, Gov_Rewards: -25.816, House_Rewards: 571.883, years: 90.700, PL: -0.003,VL: 5366.461, Ent: 1.303
[2023-06-04 12:52:11.611298] Update: 134 / 2000, Frames: 67500, Gov_Rewards: -41.801, House_Rewards: 967.557, years: 150.500, PL: -0.001,VL: 5447.604, Ent: 1.301
[2023-06-04 12:52:19.704376] Update: 135 / 2000, Frames: 68000, Gov_Rewards: -61.116, House_Rewards: 1348.273, years: 210.300, PL: 0.000,VL: 5730.090, Ent: 1.301
[2023-06-04 12:52:24.573093] Update: 136 / 2000, Frames: 68500, Gov_Rewards: -16.844, House_Rewards: 387.310, years: 60.800, PL: 0.003,VL: 5622.689, Ent: 1.300
[2023-06-04 12:52:31.924730] Update: 137 / 2000, Frames: 69000, Gov_Rewards: -51.417, House_Rewards: 1124.056, years: 180.400, PL: -0.000,VL: 5950.215, Ent: 1.299
[2023-06-04 12:52:36.898526] Update: 138 / 2000, Frames: 69500, Gov_Rewards: -25.704, House_Rewards: 576.761, years: 90.700, PL: 0.000,VL: 5509.501, Ent: 1.298
[2023-06-04 12:52:42.780398] Update: 139 / 2000, Frames: 70000, Gov_Rewards: -32.413, House_Rewards: 712.315, years: 114.000, PL: -0.002,VL: 5184.207, Ent: 1.297
[2023-06-04 12:52:51.669008] Update: 140 / 2000, Frames: 70500, Gov_Rewards: -58.810, House_Rewards: 1340.928, years: 210.300, PL: -0.001,VL: 6780.760, Ent: 1.295
[2023-06-04 12:52:59.190867] Update: 141 / 2000, Frames: 71000, Gov_Rewards: -56.154, House_Rewards: 1243.315, years: 197.300, PL: -0.002,VL: 5504.531, Ent: 1.295
[2023-06-04 12:53:06.532533] Update: 142 / 2000, Frames: 71500, Gov_Rewards: -50.739, House_Rewards: 1145.311, years: 180.400, PL: -0.003,VL: 4709.707, Ent: 1.294
[2023-06-04 12:53:10.744768] Update: 143 / 2000, Frames: 72000, Gov_Rewards: -16.799, House_Rewards: 381.310, years: 60.800, PL: -0.001,VL: 5423.358, Ent: 1.292
[2023-06-04 12:53:19.083875] Update: 144 / 2000, Frames: 72500, Gov_Rewards: -55.503, House_Rewards: 1230.053, years: 195.800, PL: 0.000,VL: 6013.073, Ent: 1.291
[2023-06-04 12:53:26.895719] Update: 145 / 2000, Frames: 73000, Gov_Rewards: -43.325, House_Rewards: 978.204, years: 156.200, PL: -0.002,VL: 5070.497, Ent: 1.290
