WGT,EDUC,LF,FOODHOME,FOODAWAY,FOODDELV,RENT,INCOME,WAGEINC,INTDIVINC,KGINC,SAVING,LIQ,FIN,ASSET,NFIN,DEBT,NETWORTH,TPAY,PIRTOTAL,CONSUMPTION,CONS_P
13551.77466,9,0,600,360,0,700,12970.94188,0,0,0,0,50,50,50,0,0,50,0,0,0,0
13444.97724,9,0,600,360,0,700,12970.94188,0,0,0,0,230,230,230,0,0,230,0,0,0,0
1971.002733,8,1,2400,0,1200,850,71340.18036,51883.76754,0,0,0,300,300,300,0,1000,-700,0,0,0,0
1932.715813,8,1,2400,0,1200,970,58369.23848,36751.002,0,0,0,670,670,670,0,1000,-330,0,0,0,0
1936.31029,8,1,2400,0,1200,970,54045.59118,35670.09018,0,0,0,320,320,320,0,1000,-680,0,0,0,0
1986.805214,8,1,2400,0,1200,860,54045.59118,34589.17836,0,0,0,600,600,600,0,1000,-400,0,0,0,0
1931.458693,8,1,2400,0,1200,680,46479.20842,28103.70742,0,0,0,430,430,430,0,1000,-570,0,0,0,0
6286.050114,11,1,720,4680,0,830,43236.47295,43236.47295,0,0,200,3700,3700,560700,557000,128000,432700,870,0.241462804,10440,0.017286586
6334.197005,11,1,720,4680,0,830,43236.47295,43236.47295,0,0,200,3700,3700,559700,556000,129000,430700,880,0.244238239,10560,0.017514283
6728.015371,11,1,720,4680,0,830,43236.47295,43236.47295,0,0,200,3700,3700,559700,556000,129000,430700,880,0.244238239,10560,0.017514283
6512.002193,11,1,720,4680,0,830,43236.47295,43236.47295,0,0,200,3700,3700,560700,557000,129000,431700,870,0.241462804,10440,0.017286586
6846.320337,11,1,720,4680,0,830,43236.47295,43236.47295,0,0,200,3700,3700,559700,556000,129000,430700,880,0.244238239,10560,0.017514283
7701.619617,12,0,18000,2080,0,0,95120.24048,32.42735471,6874.599198,205.3732465,198000,230000,1445000,2720900,1275900,0,2720900,0,0,0,0
9064.830257,12,0,18000,2080,0,0,95120.24048,21.61823647,6874.599198,205.3732465,198000,230000,1332000,2626900,1294900,0,2626900,0,0,0,0
6496.480099,12,0,18000,2080,0,0,96201.15231,32.42735471,6874.599198,194.5641283,198000,230000,1332000,2593500,1261500,0,2593500,0,0,0,0
7777.557503,12,0,18000,2080,0,0,96201.15231,32.42735471,6874.599198,205.3732465,197000,229000,1478000,2751900,1273900,0,2751900,0,0,0,0
7005.480571,12,0,18000,2080,0,0,95120.24048,21.61823647,6874.599198,194.5641283,197100,229100,1348100,2625000,1276900,0,2625000,0,0,0,0
11364.33577,9,1,3000,2400,0,920,43236.47295,41074.6493,0,0,500,960,960,7760,6800,0,7760,0,0,0,0
11744.93441,9,1,3000,2400,0,920,43236.47295,41074.6493,0,0,500,970,970,12070,11100,0,12070,0,0,0,0
11388.43762,9,1,3000,2400,0,920,60531.06212,41074.6493,0,0,500,960,960,8460,7500,0,8460,0,0,0,0
11723.02203,9,1,3000,2400,0,920,44317.38477,41074.6493,0,0,500,970,970,8570,7600,0,8570,0,0,0,0
11469.06125,9,1,3000,2400,0,920,45398.29659,41074.6493,0,0,500,960,960,10760,9800,0,10760,0,0,0,0
7928.480147,8,1,10400,2600,3120,0,324273.5471,324273.5471,0,0,0,6000,36000,798000,762000,440500,357500,7839.166667,0.290094585,94070,0.083820919
7959.114379,8,1,10400,2600,3640,0,324273.5471,324273.5471,0,0,0,6000,36000,797000,761000,441500,355500,8065.833333,0.298482565,96790,0.086321487
8568.952109,8,1,10400,2600,3640,0,324273.5471,324273.5471,0,0,0,6000,36000,809000,773000,441500,367500,8055.833333,0.298112507,96670,0.085301559
8176.283089,8,1,10400,2600,3120,0,324273.5471,324273.5471,0,0,0,6000,36000,800000,764000,441500,358500,8055.833333,0.298112507,96670,0.085984412
8702.898527,8,1,10400,2600,3120,0,324273.5471,324273.5471,0,0,0,6000,36000,828000,792000,442500,385500,7849.166667,0.290464643,94190,0.081742743
12353.76273,11,1,2600,2400,0,0,70259.26854,70259.26854,0,0,0,500,22500,129200,106700,41800,87400,852.5,0.145603565,10230,0.051288667
11673.56844,11,1,2600,2400,0,0,59450.1503,58369.23848,0,0,0,500,9100,115800,106700,40300,75500,815,0.164507574,9780,0.055805944
11698.78493,11,1,2600,2400,0,0,70259.26854,71340.18036,0,0,0,500,46500,153200,106700,42100,111100,860,0.146884535,10320,0.046182913
11905.85432,11,1,2600,2400,0,0,56207.41483,56207.41483,0,0,0,500,28500,135200,106700,38800,96400,777.5,0.165992334,9330,0.048744193
11556.93066,11,1,2600,2400,0,0,69178.35671,68097.44489,0,0,0,500,33500,140100,106600,38100,102000,760,0.13183314,9120,0.043578324
3472.239689,12,1,6120,2160,0,0,717725.4509,583692.3848,21618.23647,112414.8297,0,1022500,1932500,5514500,3582000,638000,4876500,4600,0.076909632,55200,0.008857189
3571.504774,12,1,9120,5040,0,0,910127.7555,732858.2164,28103.70742,150246.7435,0,1022500,2600500,6182500,3582000,549000,5633500,4200,0.055376841,50400,0.00710597
3720.901217,12,1,11280,3240,0,0,806360.2204,626928.8577,17294.58918,162136.7736,0,1022500,1919500,5502500,3583000,500000,5002500,4600,0.068455758,55200,0.008749599
3575.562746,12,1,9600,2520,0,0,938231.4629,805279.3086,23780.06012,110253.006,0,1021000,1959000,5541000,3582000,657000,4884000,4800,0.0613921,57600,0.008889943
3496.244379,12,1,9240,2400,0,0,775013.7776,594501.503,23780.06012,156732.2144,0,1021000,2259000,5841000,3582000,574000,5267000,4600,0.07122454,55200,0.008343393
2229.843401,12,1,10400,1800,0,0,54045.59118,54045.59118,0,0,0,1000,1000,705800,704800,260000,445800,2000,0.444069525,24000,0.031585365
2237.110564,12,1,10400,1800,0,0,54045.59118,54045.59118,0,0,0,1000,1000,705900,704900,260000,445900,2100,0.466273001,25200,0.033160269
