"Step","rule_based-run236  n=100 - GDP","rule_based-run236  n=100 - GDP__MIN","rule_based-run236  n=100 - GDP__MAX","independent_ppo-run5  n=100 - GDP","independent_ppo-run5  n=100 - GDP__MIN","independent_ppo-run5  n=100 - GDP__MAX","independent_ppo-run4  n=10 - GDP","independent_ppo-run4  n=10 - GDP__MIN","independent_ppo-run4  n=10 - GDP__MAX","bmfac-run106  n=100 - GDP","bmfac-run106  n=100 - GDP__MIN","bmfac-run106  n=100 - GDP__MAX","maddpg-run36  n=100 - GDP","maddpg-run36  n=100 - GDP__MIN","maddpg-run36  n=100 - GDP__MAX","bmfac-run112  n=10 - GDP","bmfac-run112  n=10 - GDP__MIN","bmfac-run112  n=10 - GDP__MAX","rule_based-run235  n=10 - GDP","rule_based-run235  n=10 - GDP__MIN","rule_based-run235  n=10 - GDP__MAX","maddpg-run35  n=10 - GDP","maddpg-run35  n=10 - GDP__MIN","maddpg-run35  n=10 - GDP__MAX"
"1874","","","","647499.2408979648","647499.2408979648","647499.2408979648","139159.97623493028","139159.97623493028","139159.97623493028","978431.3534670447","978431.3534670447","978431.3534670447","9907576.981077189","9907576.981077189","9907576.981077189","2813487.173293351","2813487.173293351","2813487.173293351","","","","5270337.371998512","5270337.371998512","5270337.371998512"
"1875","","","","600554.5597116468","600554.5597116468","600554.5597116468","215647.56502600742","215647.56502600742","215647.56502600742","932326.6832358486","932326.6832358486","932326.6832358486","10054682.111937005","10054682.111937005","10054682.111937005","2957273.000392748","2957273.000392748","2957273.000392748","","","","5187258.300752436","5187258.300752436","5187258.300752436"
"1876","","","","660270.2699367297","660270.2699367297","660270.2699367297","233163.96288111224","233163.96288111224","233163.96288111224","968638.6308325867","968638.6308325867","968638.6308325867","14798376.758284332","14798376.758284332","14798376.758284332","2801134.314955934","2801134.314955934","2801134.314955934","","","","1887907.7425354135","1887907.7425354135","1887907.7425354135"
"1877","","","","643188.1842781423","643188.1842781423","643188.1842781423","210395.31280746884","210395.31280746884","210395.31280746884","923812.5731949847","923812.5731949847","923812.5731949847","8423498.634594731","8423498.634594731","8423498.634594731","3082879.8129452774","3082879.8129452774","3082879.8129452774","","","","6616384.522230466","6616384.522230466","6616384.522230466"
"1878","","","","641214.0331651437","641214.0331651437","641214.0331651437","310274.01578631334","310274.01578631334","310274.01578631334","966246.6182589115","966246.6182589115","966246.6182589115","8407360.504142478","8407360.504142478","8407360.504142478","2812266.8104198067","2812266.8104198067","2812266.8104198067","","","","5696958.767054698","5696958.767054698","5696958.767054698"
"1879","","","","669219.2810854102","669219.2810854102","669219.2810854102","202244.09909843403","202244.09909843403","202244.09909843403","992110.2405640504","992110.2405640504","992110.2405640504","8974387.908400532","8974387.908400532","8974387.908400532","2943983.289467861","2943983.289467861","2943983.289467861","","","","2689577.2059683804","2689577.2059683804","2689577.2059683804"
"1880","","","","564730.489664598","564730.489664598","564730.489664598","185858.7433294254","185858.7433294254","185858.7433294254","935129.9730469829","935129.9730469829","935129.9730469829","7716494.094804802","7716494.094804802","7716494.094804802","3086859.215365301","3086859.215365301","3086859.215365301","","","","6438044.793012277","6438044.793012277","6438044.793012277"
"1881","","","","681028.4484666544","681028.4484666544","681028.4484666544","127965.73485305654","127965.73485305654","127965.73485305654","979067.822911622","979067.822911622","979067.822911622","9926998.680705264","9926998.680705264","9926998.680705264","2933095.977116318","2933095.977116318","2933095.977116318","","","","3934134.710941837","3934134.710941837","3934134.710941837"
"1882","","","","683011.6568138866","683011.6568138866","683011.6568138866","223182.15986275332","223182.15986275332","223182.15986275332","981800.7380438534","981800.7380438534","981800.7380438534","8325066.7488276865","8325066.7488276865","8325066.7488276865","2968502.9802801553","2968502.9802801553","2968502.9802801553","","","","3433773.1415307685","3433773.1415307685","3433773.1415307685"
"1883","","","","674966.5077855412","674966.5077855412","674966.5077855412","262852.30375941907","262852.30375941907","262852.30375941907","1034804.4383953888","1034804.4383953888","1034804.4383953888","9817121.180772489","9817121.180772489","9817121.180772489","3051547.024255126","3051547.024255126","3051547.024255126","","","","6713182.398501825","6713182.398501825","6713182.398501825"
"1884","","","","600514.2408921871","600514.2408921871","600514.2408921871","247012.7833372408","247012.7833372408","247012.7833372408","1055084.7922391288","1055084.7922391288","1055084.7922391288","9701725.054758491","9701725.054758491","9701725.054758491","3938479.422478053","3938479.422478053","3938479.422478053","","","","5013803.638981712","5013803.638981712","5013803.638981712"
"1885","","","","622156.88826021","622156.88826021","622156.88826021","139205.99108481169","139205.99108481169","139205.99108481169","1040055.3340403037","1040055.3340403037","1040055.3340403037","9532127.849549724","9532127.849549724","9532127.849549724","3794604.881758552","3794604.881758552","3794604.881758552","","","","5877301.1025862675","5877301.1025862675","5877301.1025862675"
"1886","","","","632138.6804332655","632138.6804332655","632138.6804332655","260193.63452489226","260193.63452489226","260193.63452489226","1061672.7929631178","1061672.7929631178","1061672.7929631178","11376353.499520805","11376353.499520805","11376353.499520805","3701749.3072978957","3701749.3072978957","3701749.3072978957","","","","6920273.827222542","6920273.827222542","6920273.827222542"
"1887","","","","628088.7305993502","628088.7305993502","628088.7305993502","279801.6510430107","279801.6510430107","279801.6510430107","1044667.0956901234","1044667.0956901234","1044667.0956901234","8737669.10613352","8737669.10613352","8737669.10613352","3792479.7013747394","3792479.7013747394","3792479.7013747394","","","","4951862.743244098","4951862.743244098","4951862.743244098"
