
n_households:  100
[2023-06-03 01:28:39.174580] Update: 102 / 2000, Frames: 51500, Gov_Rewards: 2.241, House_Rewards: 1139.702, years: 180.400, PL: -0.003,VL: 6054.658, Ent: 1.330
[2023-06-03 01:28:54.459397] Update: 103 / 2000, Frames: 52000, Gov_Rewards: 3.449, House_Rewards: 1655.870, years: 261.500, PL: -0.002,VL: 6164.257, Ent: 1.329
[2023-06-03 01:29:02.157755] Update: 104 / 2000, Frames: 52500, Gov_Rewards: 0.871, House_Rewards: 382.147, years: 60.800, PL: -0.001,VL: 6147.135, Ent: 1.328
[2023-06-03 01:29:15.517543] Update: 105 / 2000, Frames: 53000, Gov_Rewards: 2.504, House_Rewards: 1340.762, years: 210.300, PL: -0.001,VL: 6139.003, Ent: 1.327
[2023-06-03 01:29:28.740563] Update: 106 / 2000, Frames: 53500, Gov_Rewards: 2.330, House_Rewards: 1134.725, years: 180.400, PL: -0.002,VL: 5856.597, Ent: 1.327
[2023-06-03 01:29:37.780155] Update: 107 / 2000, Frames: 54000, Gov_Rewards: 1.294, House_Rewards: 575.402, years: 90.800, PL: -0.002,VL: 6337.127, Ent: 1.326
[2023-06-03 01:29:47.260443] Update: 108 / 2000, Frames: 54500, Gov_Rewards: 1.638, House_Rewards: 763.420, years: 120.600, PL: -0.002,VL: 6208.913, Ent: 1.325
[2023-06-03 01:29:54.882786] Update: 109 / 2000, Frames: 55000, Gov_Rewards: 0.828, House_Rewards: 381.174, years: 60.800, PL: -0.001,VL: 6387.421, Ent: 1.324
[2023-06-03 01:30:05.015734] Update: 110 / 2000, Frames: 55500, Gov_Rewards: 1.609, House_Rewards: 765.973, years: 120.600, PL: -0.001,VL: 6150.520, Ent: 1.322
[2023-06-03 01:30:15.265608] Update: 111 / 2000, Frames: 56000, Gov_Rewards: 1.653, House_Rewards: 769.799, years: 120.600, PL: -0.002,VL: 6534.992, Ent: 1.322
[2023-06-03 01:30:25.651076] Update: 112 / 2000, Frames: 56500, Gov_Rewards: 1.628, House_Rewards: 768.176, years: 120.600, PL: -0.002,VL: 5522.773, Ent: 1.320
[2023-06-03 01:30:36.222276] Update: 113 / 2000, Frames: 57000, Gov_Rewards: 1.552, House_Rewards: 775.355, years: 120.600, PL: -0.000,VL: 5920.814, Ent: 1.319
[2023-06-03 01:30:48.055826] Update: 114 / 2000, Frames: 57500, Gov_Rewards: 1.825, House_Rewards: 955.164, years: 150.500, PL: -0.001,VL: 6501.642, Ent: 1.318
[2023-06-03 01:30:59.746379] Update: 115 / 2000, Frames: 58000, Gov_Rewards: 2.469, House_Rewards: 1060.756, years: 168.000, PL: -0.002,VL: 5777.732, Ent: 1.318
[2023-06-03 01:31:10.814843] Update: 116 / 2000, Frames: 58500, Gov_Rewards: 1.628, House_Rewards: 770.501, years: 120.600, PL: -0.003,VL: 6114.588, Ent: 1.316
[2023-06-03 01:31:20.576897] Update: 117 / 2000, Frames: 59000, Gov_Rewards: 1.614, House_Rewards: 644.320, years: 103.800, PL: -0.002,VL: 5742.013, Ent: 1.316
[2023-06-03 01:31:31.416348] Update: 118 / 2000, Frames: 59500, Gov_Rewards: 1.858, House_Rewards: 761.684, years: 121.700, PL: -0.000,VL: 5526.277, Ent: 1.315
[2023-06-03 01:31:45.216770] Update: 119 / 2000, Frames: 60000, Gov_Rewards: 3.017, House_Rewards: 1309.039, years: 207.400, PL: -0.004,VL: 5468.121, Ent: 1.313
[2023-06-03 01:31:58.819953] Update: 120 / 2000, Frames: 60500, Gov_Rewards: 2.476, House_Rewards: 1345.807, years: 210.300, PL: -0.003,VL: 5780.662, Ent: 1.313
[2023-06-03 01:32:08.644774] Update: 121 / 2000, Frames: 61000, Gov_Rewards: 1.397, House_Rewards: 776.457, years: 120.700, PL: -0.000,VL: 5932.887, Ent: 1.313
[2023-06-03 01:32:18.668444] Update: 122 / 2000, Frames: 61500, Gov_Rewards: 2.436, House_Rewards: 758.800, years: 119.700, PL: -0.001,VL: 5898.875, Ent: 1.311
[2023-06-03 01:32:27.132844] Update: 123 / 2000, Frames: 62000, Gov_Rewards: 1.370, House_Rewards: 584.625, years: 90.700, PL: -0.002,VL: 5225.132, Ent: 1.310
[2023-06-03 01:32:37.347107] Update: 124 / 2000, Frames: 62500, Gov_Rewards: 2.053, House_Rewards: 795.787, years: 123.800, PL: -0.001,VL: 6177.413, Ent: 1.309
[2023-06-03 01:32:46.986412] Update: 125 / 2000, Frames: 63000, Gov_Rewards: 1.859, House_Rewards: 751.700, years: 118.400, PL: -0.002,VL: 6265.985, Ent: 1.308
[2023-06-03 01:32:56.434753] Update: 126 / 2000, Frames: 63500, Gov_Rewards: 1.706, House_Rewards: 699.696, years: 109.300, PL: -0.001,VL: 5867.378, Ent: 1.308
[2023-06-03 01:33:05.619098] Update: 127 / 2000, Frames: 64000, Gov_Rewards: 1.287, House_Rewards: 566.556, years: 90.700, PL: -0.001,VL: 6156.141, Ent: 1.307
[2023-06-03 01:33:16.310153] Update: 128 / 2000, Frames: 64500, Gov_Rewards: 2.012, House_Rewards: 924.416, years: 145.700, PL: 0.004,VL: 5572.163, Ent: 1.307
[2023-06-03 01:33:27.556376] Update: 129 / 2000, Frames: 65000, Gov_Rewards: 1.990, House_Rewards: 959.272, years: 150.500, PL: -0.000,VL: 5940.791, Ent: 1.306
[2023-06-03 01:33:39.066912] Update: 130 / 2000, Frames: 65500, Gov_Rewards: 2.477, House_Rewards: 1050.829, years: 164.500, PL: -0.002,VL: 5784.032, Ent: 1.306
[2023-06-03 01:33:47.939206] Update: 131 / 2000, Frames: 66000, Gov_Rewards: 1.215, House_Rewards: 571.393, years: 90.700, PL: -0.001,VL: 6052.311, Ent: 1.305
[2023-06-03 01:33:55.363914] Update: 132 / 2000, Frames: 66500, Gov_Rewards: 1.170, House_Rewards: 319.578, years: 50.400, PL: -0.001,VL: 5615.603, Ent: 1.304
[2023-06-03 01:34:08.876506] Update: 133 / 2000, Frames: 67000, Gov_Rewards: 2.637, House_Rewards: 1326.125, years: 210.300, PL: -0.001,VL: 6281.871, Ent: 1.302
[2023-06-03 01:34:17.029483] Update: 134 / 2000, Frames: 67500, Gov_Rewards: 1.287, House_Rewards: 424.566, years: 67.100, PL: -0.001,VL: 5982.339, Ent: 1.302
[2023-06-03 01:34:25.688214] Update: 135 / 2000, Frames: 68000, Gov_Rewards: 1.211, House_Rewards: 569.741, years: 90.900, PL: -0.002,VL: 5620.529, Ent: 1.301
[2023-06-03 01:34:36.672889] Update: 136 / 2000, Frames: 68500, Gov_Rewards: 1.998, House_Rewards: 964.322, years: 150.500, PL: -0.001,VL: 5763.312, Ent: 1.300
[2023-06-03 01:34:49.053280] Update: 137 / 2000, Frames: 69000, Gov_Rewards: 2.827, House_Rewards: 1104.879, years: 173.900, PL: 0.000,VL: 5699.864, Ent: 1.299
[2023-06-03 01:34:59.873205] Update: 138 / 2000, Frames: 69500, Gov_Rewards: 1.553, House_Rewards: 762.818, years: 120.600, PL: 0.000,VL: 5611.389, Ent: 1.298
[2023-06-03 01:35:13.343738] Update: 139 / 2000, Frames: 70000, Gov_Rewards: 2.637, House_Rewards: 1324.199, years: 210.300, PL: -0.001,VL: 5493.998, Ent: 1.297
[2023-06-03 01:35:25.572883] Update: 140 / 2000, Frames: 70500, Gov_Rewards: 2.329, House_Rewards: 1154.428, years: 180.400, PL: 0.004,VL: 4670.097, Ent: 1.296
[2023-06-03 01:35:34.991623] Update: 141 / 2000, Frames: 71000, Gov_Rewards: 1.364, House_Rewards: 574.765, years: 90.800, PL: -0.003,VL: 5301.556, Ent: 1.296
[2023-06-03 01:35:45.522571] Update: 142 / 2000, Frames: 71500, Gov_Rewards: 1.534, House_Rewards: 781.831, years: 120.600, PL: -0.002,VL: 5800.879, Ent: 1.295
[2023-06-03 01:35:54.242357] Update: 143 / 2000, Frames: 72000, Gov_Rewards: 1.291, House_Rewards: 561.762, years: 90.700, PL: -0.000,VL: 5627.519, Ent: 1.294
[2023-06-03 01:36:04.147735] Update: 144 / 2000, Frames: 72500, Gov_Rewards: 1.645, House_Rewards: 759.832, years: 120.700, PL: -0.002,VL: 5050.655, Ent: 1.293
[2023-06-03 01:36:16.274490] Update: 145 / 2000, Frames: 73000, Gov_Rewards: 2.236, House_Rewards: 1138.248, years: 180.400, PL: -0.000,VL: 5389.308, Ent: 1.292
